"","latitude","longitude","carbon_values","nitrogen_values","ph_values","Landcover","Climate_Re","elevation","prec_mean","temp_mean","clouds_mean","ndvi_mean"
"67",44.3293172690763,6.80402010050251,474,702,60,"Sparsely or Non vegetated","Polar Moist",2574,139.166666666667,2.74166666666667,36.7858333333333,0.146491666666667
"70",45.1726907630522,6.53266331658292,541,811,56,"Sparsely or Non vegetated","Polar Moist",2697,129,1.69166666666666,40.29,0.0412333333333333
"72",44.9317269076305,6.46482412060302,526,803,58,"Snow and Ice","Polar Moist",2881,132.583333333333,-1.26666666666665,39.4933333333333,-0.0138083333333333
"75",45.5341365461847,6.87185929648241,516,753,57,"Snow and Ice","Polar Moist",3026,161.25,-1.35833333333329,42.0658333333333,-0.0223791666666667
"79",45.855421686747,6.93969849246231,514,746,59,"Snow and Ice","Polar Moist",3309,188.583333333333,-3.60833333333329,41.87,-0.0389458333333333
"80",45.4939759036145,6.80402010050251,588,715,60,"Snow and Ice","Polar Moist",3094,157.833333333333,-1.21666666666664,42.13,-0.0260708333333333
"83",45.293172690763,6.12562814070352,567,716,54,"Grassland","Polar Moist",2350,200.916666666667,1.90833333333336,40.9758333333333,0.0968083333333333
"84",45.2530120481928,6.93969849246231,512,672,57,"Grassland","Polar Moist",2389,115.333333333333,2.30833333333334,38.8575,0.258033333333333
"85",45.2530120481928,6.66834170854271,504,674,57,"Grassland","Polar Moist",2493,132.25,1.8416666666667,40.3725,0.133908333333333
"87",44.8112449799197,6.66834170854271,492,675,63,"Grassland","Polar Moist",2354,103.833333333333,3.53333333333336,39.0291666666667,0.196583333333333
"88",44.1686746987952,6.66834170854271,472,708,66,"Grassland","Polar Moist",2284,138.5,4.51666666666671,35.355,0.362291666666667
"90",44.1686746987952,7.14321608040201,477,788,55,"Grassland","Polar Moist",2443,134.833333333333,5.04166666666669,31.9666666666667,0.095175
"91",44.570281124498,6.73618090452261,533,649,60,"Grassland","Polar Moist",2397,112.083333333333,3.59166666666675,34.5066666666667,0.2134125
"92",45.4939759036145,6.87185929648241,0,0,0,"Grassland","Polar Moist",2741,152.666666666667,0.400000000000034,41.315,0.0884916666666667
"94",44.9718875502008,6.60050251256281,498,615,58,"Grassland","Polar Moist",2488,105.75,3.06666666666672,39.2866666666667,0.147983333333333
"97",45.3734939759036,6.39698492462312,547,830,54,"Grassland","Polar Moist",2531,187.25,2.88333333333338,41.6616666666667,0.197979166666667
"102",45.4538152610442,6.87185929648241,518,644,60,"Grassland","Polar Moist",2576,144.25,1.27500000000003,40.8116666666667,0.118829166666667
"103",44.7710843373494,6.66834170854271,544,707,60,"Grassland","Polar Moist",2420,105.833333333333,3.65000000000003,39.225,0.1801875
"104",44.5301204819277,6.66834170854271,562,678,57,"Grassland","Polar Moist",2473,119.25,3.20833333333343,36.195,0.173025
"105",45.6546184738956,6.66834170854271,506,673,59,"Grassland","Polar Moist",2620,202.083333333333,1.21666666666664,42.2566666666667,0.0163666666666667
"106",45.4538152610442,7.07537688442211,490,757,57,"Grassland","Polar Moist",2368,152.416666666667,2.03333333333336,40.9525,0.185595833333333
"108",44.3293172690763,6.73618090452261,494,644,63,"Grassland","Polar Moist",2449,120.583333333333,3.36666666666673,33.6116666666667,0.140058333333333
"110",44.7309236947791,6.93969849246231,550,720,59,"Grassland","Polar Moist",2531,114.583333333333,2.22500000000002,36.4816666666667,0.2089625
"113",44.8112449799197,6.87185929648241,510,744,57,"Grassland","Polar Moist",2422,102.25,3.35000000000008,34.97,0.1904375
"116",45.3734939759036,6.60050251256281,509,758,60,"Grassland","Polar Moist",2285,149.083333333333,2.76666666666671,40.6116666666667,0.234404166666667
"121",44.2489959839357,6.73618090452261,560,699,58,"Grassland","Polar Moist",2483,138.25,3.92500000000001,34.1575,0.1770125
"123",45.4538152610442,6.93969849246231,508,666,59,"Grassland","Boreal Moist",2372,120.416666666667,2.46666666666675,37.0566666666667,0.197995833333333
"124",44.6907630522088,4.09045226130653,535,715,58,"Shrubland","Cool Temperate Moist",1359,93.25,10.6833333333333,39.4991666666667,0.5685625
"125",44.6506024096386,3.95477386934673,510,652,59,"Shrubland","Cool Temperate Moist",1043,88.9166666666667,12.1166666666667,42.9833333333333,0.522195833333333
"126",45.7751004016064,1.85175879396985,524,660,59,"Shrubland","Cool Temperate Moist",661,125.333333333333,13.2583333333334,44.6541666666667,0.733554166666667
"127",45.8152610441767,3.75125628140704,518,654,61,"Shrubland","Cool Temperate Moist",758,91.5,12.975,40.9925,0.637716666666667
"128",46.2168674698795,3.75125628140704,473,598,63,"Shrubland","Cool Temperate Moist",446,85.8333333333333,14.725,40.9016666666667,0.7358875
"130",46.0160642570281,6.73618090452261,506,848,58,"Shrubland","Cool Temperate Moist",1999,203.916666666667,4.47500000000008,42.4141666666667,0.243670833333333
"131",44.8112449799197,4.22613065326633,0,0,0,"Shrubland","Cool Temperate Moist",1328,99.8333333333333,10.1666666666667,42.4566666666667,0.574275
"132",44.7309236947791,4.49748743718593,481,802,56,"Shrubland","Cool Temperate Moist",754,94.6666666666667,14.025,34.7958333333333,0.664804166666667
"133",44.85140562249,4.02261306532663,500,558,62,"Shrubland","Cool Temperate Moist",938,77.1666666666667,12.4000000000001,43.8475,0.68825
"134",44.4899598393574,3.95477386934673,534,690,60,"Shrubland","Cool Temperate Moist",888,85.0833333333333,13.8416666666668,32.9341666666667,0.585725
"135",45.7751004016064,2.12311557788945,577,698,57,"Shrubland","Cool Temperate Moist",796,100.583333333333,12.5333333333334,45.2083333333333,0.6399875
"136",44.570281124498,3.95477386934673,586,773,57,"Shrubland","Cool Temperate Moist",683,82.1666666666667,14.5916666666668,35.215,0.563658333333333
"137",44.4096385542169,5.51507537688442,530,670,60,"Shrubland","Cool Temperate Moist",898,77.9166666666667,13.4416666666667,30.7325,0.44185
"138",45.0522088353414,4.63316582914573,541,906,57,"Shrubland","Cool Temperate Moist",712,77.3333333333333,13.8916666666667,32.975,0.729191666666667
"139",44.5301204819277,5.37939698492462,535,680,57,"Shrubland","Cool Temperate Moist",1316,93.9166666666667,11.3416666666667,35.4625,0.478991666666667
"140",44.2489959839357,5.31155778894472,571,714,59,"Shrubland","Cool Temperate Moist",901,78.9166666666667,14.925,28.4541666666667,0.514966666666667
"141",45.6144578313253,3.75125628140704,572,763,53,"Shrubland","Cool Temperate Moist",660,86.75,13.6583333333333,42.6383333333333,0.639225
"142",44.4497991967871,5.31155778894472,567,830,53,"Shrubland","Cool Temperate Moist",835,84.75,14.3833333333334,30.1191666666667,0.5499375
"143",44.5301204819277,3.88693467336683,565,752,55,"Shrubland","Cool Temperate Moist",956,85.6666666666667,12.9,36.8733333333333,0.525854166666667
"144",47.1807228915663,6.32914572864322,519,634,60,"Shrubland","Cool Temperate Moist",595,121.833333333333,13.1666666666667,38.615,0.492395833333333
"145",45.8955823293173,5.51507537688442,558,736,55,"Shrubland","Cool Temperate Moist",525,142,14.0583333333333,37.33,0.620620833333333
"146",42.5622489959839,2.19095477386935,515,668,56,"Shrubland","Cool Temperate Moist",1480,50.8333333333333,11.0666666666667,32.6933333333333,0.6274125
"147",47.1004016064257,4.22613065326633,559,748,61,"Shrubland","Cool Temperate Moist",371,72.9166666666667,14.2916666666667,38.3625,0.6526875
"148",45.855421686747,3.61557788944724,521,786,58,"Shrubland","Cool Temperate Moist",652,108,13.675,42.6733333333333,0.632983333333333
"149",44.7309236947791,4.42964824120603,487,610,63,"Shrubland","Cool Temperate Moist",726,93.25,14.2916666666667,33.2783333333333,0.5665875
"150",47.0602409638554,4.29396984924623,474,686,61,"Shrubland","Cool Temperate Moist",395,74.5833333333333,13.9916666666667,39.4925,0.699145833333333
"151",45.7751004016064,3.95477386934673,0,0,0,"Shrubland","Cool Temperate Moist",576,78.0833333333333,14.0500000000001,38.0033333333333,0.697979166666666
"152",44.6907630522088,3.95477386934673,510,634,58,"Shrubland","Cool Temperate Moist",1230,90.25,10.9833333333333,45.3016666666667,0.603891666666667
"153",44.3694779116466,5.78643216080402,556,842,57,"Shrubland","Cool Temperate Moist",750,72.5833333333333,14.6416666666667,29.1975,0.504983333333333
"154",44.9317269076305,4.36180904522613,551,645,59,"Shrubland","Cool Temperate Moist",562,78.6666666666667,14.5166666666667,33.3975,0.652379166666667
"155",44.4096385542169,3.88693467336683,564,702,57,"Shrubland","Cool Temperate Moist",1053,95.4166666666667,12.1833333333333,37.4,0.636325
"156",46.9799196787149,4.36180904522613,537,660,61,"Shrubland","Cool Temperate Moist",372,71.75,14.475,37.8775,0.683133333333333
"157",45.8152610441767,3.81909547738693,619,863,54,"Shrubland","Cool Temperate Moist",628,81.5833333333333,13.8166666666667,38.8108333333333,0.7109875
"158",46.2570281124498,6.80402010050251,511,639,60,"Shrubland","Cool Temperate Moist",1752,161.25,7.91666666666669,37.3575,0.383583333333333
"159",46.9397590361446,4.09045226130653,519,664,60,"Shrubland","Cool Temperate Moist",425,79.75,14.2416666666667,38.6691666666667,0.711291666666667
"160",44.4096385542169,3.81909547738693,533,684,60,"Shrubland","Cool Temperate Moist",1557,97.1666666666667,9.55000000000001,41.1508333333333,0.4302125
"161",45.3333333333333,3.00502512562814,557,699,59,"Shrubland","Cool Temperate Moist",1388,97.75,9.53333333333336,48.9533333333333,0.517620833333333
"162",44.6104417670683,5.17587939698493,537,810,53,"Shrubland","Cool Temperate Moist",665,92,14.0333333333334,35.6083333333333,0.5316125
"163",46.8995983935743,4.09045226130653,554,788,53,"Shrubland","Cool Temperate Moist",382,75.8333333333333,14.5166666666667,37.2516666666667,0.691295833333333
"164",45.6947791164659,3.61557788944724,533,713,57,"Shrubland","Cool Temperate Moist",522,85.25,14.6833333333333,40.205,0.706795833333333
"165",44.0080321285141,3.27638190954774,535,660,58,"Forest","Cool Temperate Moist",643,61.5833333333333,14.4916666666667,37.115,0.6097875
"166",45.855421686747,6.66834170854271,539,727,58,"Forest","Cool Temperate Moist",1772,166.166666666667,6.64166666666677,37.8608333333333,0.292945833333333
"167",47.0602409638554,3.95477386934673,498,690,61,"Forest","Cool Temperate Moist",447,88.9166666666667,13.95,41.0116666666667,0.73055
"168",47.0200803212851,3.95477386934673,499,615,61,"Forest","Cool Temperate Moist",613,92.3333333333333,12.95,42.3541666666667,0.7315125
"169",47.0602409638554,6.12562814070352,482,541,63,"Forest","Cool Temperate Moist",495,115.75,13.7666666666667,37.36,0.6912375
"170",47.9839357429719,6.87185929648241,0,0,0,"Forest","Cool Temperate Moist",797,120.333333333333,10.925,44.175,0.593104166666667
"171",47.1004016064257,6.12562814070352,486,698,64,"Forest","Cool Temperate Moist",371,107.25,14.7833333333334,35.9583333333333,0.650179166666667
"172",46.9397590361446,3.95477386934673,523,715,60,"Forest","Cool Temperate Moist",440,92,13.8500000000001,41.8475,0.724095833333333
"173",45.0923694779116,5.51507537688442,519,717,60,"Forest","Cool Temperate Moist",1171,119.166666666667,10.225,38.0591666666667,0.634391666666667
"174",47.3815261044177,6.53266331658292,558,637,59,"Forest","Cool Temperate Moist",399,103.166666666667,14.2166666666667,39.0241666666667,0.680195833333333
"175",47.2208835341365,6.19346733668342,536,625,58,"Forest","Cool Temperate Moist",437,102.416666666667,14.2,37.43,0.774858333333333
"176",42.9638554216867,0.0879396984924625,577,737,58,"Forest","Cool Temperate Moist",1147,118.5,12.2416666666667,46.1558333333333,0.721295833333333
"177",44.4096385542169,3.54773869346734,588,788,54,"Forest","Cool Temperate Moist",875,74.8333333333333,12.9833333333333,39.6475,0.698275
"178",44.2088353413655,3.54773869346734,533,647,60,"Forest","Cool Temperate Moist",839,68.3333333333333,14.05,36.6516666666667,0.679333333333333
"179",45.2128514056225,3.07286432160804,547,730,57,"Forest","Cool Temperate Moist",881,75.0833333333333,12.3166666666667,44.1483333333333,0.667945833333333
"180",45.1325301204819,3.00502512562814,567,706,58,"Forest","Cool Temperate Moist",762,76,13.1416666666667,40.4466666666667,0.658270833333333
"181",44.1285140562249,6.39698492462312,553,682,59,"Forest","Cool Temperate Moist",1459,95.6666666666667,11.3666666666667,29.9166666666667,0.617125
"182",44.4096385542169,6.05778894472362,582,725,56,"Forest","Cool Temperate Moist",1173,77.9166666666667,13.2500000000001,29.5958333333333,0.620304166666667
"183",45.1325301204819,5.51507537688442,575,737,56,"Forest","Cool Temperate Moist",1117,125.5,10.9916666666667,39.8275,0.6263125
"184",42.5622489959839,1.85175879396985,540,781,57,"Forest","Cool Temperate Moist",2151,72.9166666666667,6.43333333333334,42.8125,0.420295833333333
"185",44.2088353413655,5.37939698492462,510,760,54,"Forest","Cool Temperate Moist",890,81.0833333333333,14.375,29.8575,0.6484625
"186",44.289156626506,5.51507537688442,535,609,59,"Forest","Cool Temperate Moist",1018,78.9166666666667,13.6416666666667,30.4441666666667,0.653
"187",42.5622489959839,2.05527638190955,528,836,56,"Forest","Cool Temperate Moist",2022,60.25,7.85833333333335,37.1666666666667,0.540420833333333
"188",44.8915662650602,2.80150753768844,500,680,60,"Forest","Cool Temperate Moist",809,91.25,13.1166666666667,39.8133333333333,0.694958333333333
"189",42.4417670682731,2.05527638190955,495,610,60,"Forest","Cool Temperate Moist",1601,53,11.4000000000001,39.1808333333333,0.5871375
"190",44.4497991967871,3.54773869346734,0,0,0,"Forest","Cool Temperate Moist",823,76.5833333333333,12.5,42.3716666666667,0.629695833333333
"191",44.8112449799197,4.42964824120603,513,783,63,"Forest","Cool Temperate Moist",940,99.3333333333333,13.0833333333334,34.5783333333333,0.7075125
"192",44.0883534136546,7.61809045226131,511,847,58,"Forest","Cool Temperate Moist",1439,82.6666666666667,10.6916666666667,29.2225,0.489966666666667
"193",44.4497991967871,3.14070351758794,465,649,61,"Forest","Cool Temperate Moist",609,62.0833333333333,14.8166666666667,36.855,0.670283333333333
"194",42.4819277108434,2.12311557788945,501,723,57,"Forest","Cool Temperate Moist",1741,60,9.35833333333335,39.4908333333333,0.663270833333333
"195",42.8835341365462,0.0879396984924625,512,688,59,"Forest","Cool Temperate Moist",1718,133.083333333333,9.15000000000003,45.6941666666667,0.485583333333333
"196",46.0160642570281,3.00502512562814,542,688,59,"Forest","Cool Temperate Moist",517,75.5833333333333,14.3416666666668,41.1066666666667,0.69535
"197",44.8112449799197,3.68341708542714,595,710,57,"Forest","Cool Temperate Moist",982,62.25,12.1833333333334,42.82,0.671225
"198",44.5301204819277,3.54773869346734,526,673,59,"Forest","Cool Temperate Moist",814,66.5833333333333,13.3666666666667,37.7058333333333,0.641316666666667
"199",46.0160642570281,3.81909547738693,647,860,54,"Forest","Cool Temperate Moist",1088,107.583333333333,10.8666666666667,46.5533333333333,0.759816666666667
"200",44.7710843373494,3.47989949748744,539,652,60,"Forest","Cool Temperate Moist",1326,71,10.275,47.9316666666667,0.6161125
"201",45.9357429718875,6.87185929648241,522,665,58,"Forest","Cool Temperate Moist",1202,134.583333333333,9.85000000000002,35.7033333333333,0.5125875
"202",42.8835341365462,-0.522613065326633,551,714,57,"Forest","Cool Temperate Moist",1666,144.583333333333,10.8333333333334,43.8183333333333,0.675316666666667
"203",42.7228915662651,0.42713567839196,578,750,58,"Forest","Cool Temperate Moist",1891,124.583333333333,7.09166666666675,44.1125,0.429054166666667
"204",45.3734939759036,3.54773869346734,568,812,53,"Forest","Cool Temperate Moist",992,81.5833333333333,12.8750000000001,43.7125,0.7428625
"205",45.2530120481928,5.58291457286432,592,767,54,"Forest","Cool Temperate Moist",1001,129.75,12.7666666666667,38.98,0.6445125
"206",44.6104417670683,3.95477386934673,589,798,56,"Forest","Cool Temperate Moist",1267,89.6666666666667,10.8833333333334,39.5133333333333,0.695258333333333
"207",46.0963855421687,6.60050251256281,550,789,55,"Forest","Cool Temperate Moist",676,128.75,13.575,33.9141666666667,0.542804166666667
"208",46.0562248995984,6.73618090452261,540,660,61,"Forest","Cool Temperate Moist",1063,140.166666666667,10.5416666666667,34.2825,0.597341666666667
"209",45.3333333333333,3.20854271356784,518,782,55,"Forest","Cool Temperate Moist",519,68.25,14.3083333333334,40.3008333333333,0.646054166666667
"210",48.3052208835341,6.93969849246231,460,587,62,"Forest","Cool Temperate Moist",436,84.3333333333333,13.2500000000001,39.3641666666667,0.6686875
"211",44.6907630522088,5.71859296482412,539,935,56,"Forest","Cool Temperate Moist",1421,106.5,10.1000000000001,34.8933333333333,0.608220833333333
"212",46.4176706827309,5.71859296482412,536,842,58,"Forest","Cool Temperate Moist",665,152,13.2333333333334,38.5508333333333,0.577704166666667
"213",42.7228915662651,1.78391959798995,492,736,59,"Forest","Cool Temperate Moist",1150,59.75,11.8166666666667,38.845,0.6691875
"214",46.136546184739,6.60050251256281,525,657,59,"Forest","Cool Temperate Moist",1352,161.916666666667,9.00833333333333,37.57,0.484
"215",45.9759036144578,3.81909547738693,575,682,59,"Forest","Cool Temperate Moist",1057,106.75,11.15,46.5516666666667,0.751991666666667
"216",44.85140562249,4.49748743718593,595,749,58,"Forest","Cool Temperate Moist",988,95,12.6583333333334,35.0483333333333,0.6793375
"217",44.9317269076305,4.49748743718593,595,740,56,"Forest","Cool Temperate Moist",704,88.75,13.5916666666667,34.7108333333333,0.766616666666667
"218",42.8433734939759,0.0879396984924625,568,745,57,"Forest","Cool Temperate Moist",2273,152.75,5.7000000000001,44.915,0.171129166666667
"219",44.0080321285141,6.39698492462312,598,756,57,"Forest","Cool Temperate Moist",843,79.5833333333333,15.3750000000001,27.5975,0.606425
"220",44.1686746987952,7.00753768844221,548,616,60,"Forest","Cool Temperate Moist",1834,113.583333333333,8.15833333333336,32.9083333333333,0.303820833333333
"221",46.6184738955823,5.85427135678392,531,631,61,"Forest","Cool Temperate Moist",764,156.5,12.3583333333334,40.2308333333333,0.693379166666667
"222",45.5341365461847,6.66834170854271,544,662,60,"Forest","Cool Temperate Moist",1358,117.583333333333,9.74166666666673,36.4791666666667,0.448129166666667
"223",45.9357429718875,4.42964824120603,537,703,59,"Forest","Cool Temperate Moist",561,73.5833333333333,14.4083333333334,36.9733333333333,0.714629166666667
"224",44.3694779116466,3.54773869346734,559,714,58,"Forest","Cool Temperate Moist",719,63.4166666666667,14.8833333333334,34.9083333333333,0.648116666666667
"225",45.4939759036145,5.78643216080402,537,731,54,"Forest","Cool Temperate Moist",800,146.916666666667,13.0333333333334,40.0891666666667,0.590345833333333
"227",44.8915662650602,6.05778894472362,524,752,59,"Forest","Cool Temperate Moist",2287,134.25,5.08333333333331,33.0916666666667,0.121729166666667
"228",47.9036144578313,6.87185929648241,523,699,58,"Forest","Cool Temperate Moist",767,116.416666666667,11.4,46.0016666666667,0.644933333333333
"229",44.3694779116466,3.75125628140704,531,749,58,"Forest","Cool Temperate Moist",1063,87,12.275,37.7216666666667,0.614275
"230",42.9236947791165,-0.522613065326633,497,725,56,"Forest","Cool Temperate Moist",2020,165.416666666667,6.93333333333339,43.88,0.213283333333333
"231",44.0883534136546,5.85427135678392,507,655,61,"Forest","Cool Temperate Moist",1128,83.4166666666667,13.5833333333333,31.2241666666667,0.592125
"232",42.3614457831325,2.53015075376884,515,865,58,"Forest","Cool Temperate Moist",965,67.1666666666667,14.8833333333334,35.6833333333333,0.706308333333333
"233",45.8152610441767,3.00502512562814,494,783,60,"Forest","Cool Temperate Moist",916,89.3333333333333,12.1,43.0308333333333,0.692091666666667
"234",48.6265060240964,7.07537688442211,487,739,61,"Forest","Cool Temperate Moist",336,83.75,13.4583333333334,42.2433333333333,0.7097375
"235",43.9678714859438,3.41206030150754,500,737,59,"Forest","Cool Temperate Moist",738,73.25,14.6,38.1508333333333,0.7143375
"236",42.5220883534137,1.85175879396985,581,663,60,"Forest","Cool Temperate Moist",2222,68.0833333333333,5.98333333333335,42.1533333333333,0.483883333333333
"237",44.1285140562249,3.54773869346734,535,622,59,"Forest","Cool Temperate Moist",1220,84.5833333333333,11.8083333333333,41.745,0.621766666666667
"238",42.5622489959839,2.12311557788945,549,729,55,"Forest","Cool Temperate Moist",1926,61.9166666666667,8.63333333333338,38.1533333333333,0.6176125
"239",44.85140562249,4.42964824120603,547,675,59,"Forest","Cool Temperate Moist",997,97.5833333333333,12.5333333333334,35.655,0.716291666666667
"240",44.6104417670683,5.37939698492462,578,703,56,"Forest","Cool Temperate Moist",1090,97.75,12.1333333333334,36.6616666666667,0.6386125
"241",42.6827309236948,1.78391959798995,547,790,58,"Forest","Cool Temperate Moist",1419,65.5,9.65000000000003,41.2333333333333,0.688454166666667
"242",44.0481927710843,6.39698492462312,546,744,58,"Forest","Cool Temperate Moist",1041,86.3333333333333,14.0500000000001,28.345,0.573570833333333
"243",44.3293172690763,3.75125628140704,487,677,59,"Forest","Cool Temperate Moist",1135,95.6666666666667,12.1666666666667,39.6658333333333,0.752229166666667
"244",44.3694779116466,2.73366834170854,519,616,61,"Forest","Cool Temperate Moist",816,82.8333333333333,13.5583333333333,42.0091666666667,0.684745833333333
"245",45.6144578313253,3.54773869346734,518,673,58,"Forest","Cool Temperate Moist",801,87.5833333333333,12.9083333333334,45.2141666666667,0.757658333333333
"246",43.4457831325301,2.46231155778895,535,683,58,"Forest","Cool Temperate Moist",1037,93.8333333333333,13.2833333333334,45.0741666666667,0.665333333333333
"247",44.6506024096386,2.93718592964824,604,807,51,"Forest","Cool Temperate Moist",1269,94.9166666666667,10.5666666666667,45.0808333333333,0.618904166666667
"248",44.570281124498,3.88693467336683,528,621,58,"Forest","Cool Temperate Moist",1122,85.0833333333333,11.8916666666667,37.9425,0.599333333333333
"249",46.3775100401606,5.71859296482412,596,784,58,"Forest","Cool Temperate Moist",586,139.416666666667,13.8333333333334,37.3458333333333,0.6292625
"250",44.0080321285141,7.21105527638191,543,679,57,"Forest","Cool Temperate Moist",1326,100.583333333333,11.45,30.75,0.7414375
"251",46.578313253012,5.85427135678392,587,811,56,"Forest","Cool Temperate Moist",873,163,12.0333333333334,41.0108333333333,0.738129166666667
"252",42.6827309236948,2.19095477386935,515,742,56,"Forest","Cool Temperate Moist",1858,73.9166666666667,8.67500000000001,41.815,0.574991666666667
"253",42.8032128514056,2.19095477386935,536,685,60,"Forest","Cool Temperate Moist",818,63.5833333333333,14.6416666666667,35.2575,0.718120833333333
"254",44.1686746987952,6.39698492462312,0,0,0,"Forest","Cool Temperate Moist",980,82.75,13.5666666666667,28.1116666666667,0.643616666666667
"255",49.0281124497992,7.8894472361809,533,984,55,"Forest","Cool Temperate Moist",464,74.25,12.7666666666667,43.5625,0.594691666666667
"256",48.1044176706827,6.87185929648241,500,739,57,"Forest","Cool Temperate Moist",738,116.333333333333,11.6083333333333,46.0183333333333,0.651945833333333
"257",44.9718875502008,4.70100502512563,517,656,60,"Forest","Cool Temperate Moist",635,86.5833333333333,14.4,36.7275,0.704158333333333
